"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"sey02010","sey02010","ABC transporters","120/947","174/1762",1.23869366958027e-05,0.00102811574575163,0.000912721651269674,"SL1344_0106/SL1344_0107/SL1344_0108/SL1344_0193/SL1344_0194/SL1344_0207/SL1344_0247/SL1344_0248/SL1344_0454/SL1344_0455/SL1344_0503/SL1344_0504/SL1344_0578/SL1344_0582/SL1344_0651/SL1344_0653/SL1344_0654/SL1344_0705/SL1344_0755/SL1344_0758/SL1344_0759/SL1344_0760/SL1344_0805/SL1344_0824/SL1344_0825/SL1344_0826/SL1344_0827/SL1344_0854/SL1344_0855/SL1344_0864/SL1344_0865/SL1344_0866/SL1344_0867/SL1344_0881/SL1344_0894/SL1344_0895/SL1344_1154/SL1344_1156/SL1344_1159/SL1344_1160/SL1344_1162/SL1344_1163/SL1344_1274/SL1344_1276/SL1344_1421/SL1344_1423/SL1344_1424/SL1344_1622/SL1344_1623/SL1344_1624/SL1344_1625/SL1344_1626/SL1344_1673/SL1344_1675/SL1344_1676/SL1344_1825/SL1344_1826/SL1344_1881/SL1344_1883/SL1344_1996/SL1344_2141/SL1344_2142/SL1344_2165/SL1344_2166/SL1344_2193/SL1344_2194/SL1344_2195/SL1344_2196/SL1344_2223E/SL1344_2223F/SL1344_2233/SL1344_2321/SL1344_2322/SL1344_2324/SL1344_2404/SL1344_2405/SL1344_2406/SL1344_2407/SL1344_2663/SL1344_2759/SL1344_2794/SL1344_2795/SL1344_2796/SL1344_2841/SL1344_2842/SL1344_3050/SL1344_3051/SL1344_3281/SL1344_3282/SL1344_3284/SL1344_3285/SL1344_3520/SL1344_3521/SL1344_3526/SL1344_3527/SL1344_3530/SL1344_3532/SL1344_3535/SL1344_3592/SL1344_3594/SL1344_3595/SL1344_3784/SL1344_3785/SL1344_3822/SL1344_3823/SL1344_3848/SL1344_3849/SL1344_3850/SL1344_3851/SL1344_4012/SL1344_4023/SL1344_4024/SL1344_4025/SL1344_4163/SL1344_4164/SL1344_4167/SL1344_4198/SL1344_4288/SL1344_4409/SL1344_4410",120
"sey03440","sey03440","Homologous recombination","26/947","31/1762",0.000398933246230197,0.0165557297185532,0.0146975406505862,"SL1344_0232/SL1344_0259/SL1344_0474/SL1344_0477/SL1344_0479/SL1344_0634/SL1344_1138/SL1344_1828/SL1344_1829/SL1344_1833/SL1344_2541/SL1344_2971/SL1344_2972/SL1344_2974/SL1344_3018/SL1344_3710/SL1344_3803/SL1344_4044/SL1344_4325/SL1344_4406/SL1344_4475/SL1344_4485/SL1344_P1_0041/SL1344_P1_0042/SL1344_P2_0005/SL1344_P2_0035",26
"sey00770","sey00770","Pantothenate and CoA biosynthesis","21/947","25/1762",0.0014717294432819,0.0326074108574212,0.0289476063414012,"SL1344_0116/SL1344_0117/SL1344_0140/SL1344_0181/SL1344_0182/SL1344_0183/SL1344_0398/SL1344_0428/SL1344_2163/SL1344_2164/SL1344_2535/SL1344_2539/SL1344_2933/SL1344_3498/SL1344_3548/SL1344_3691/SL1344_3761/SL1344_3762/SL1344_3861/SL1344_3862/SL1344_4083",21
"sey00860","sey00860","Porphyrin and chlorophyll metabolism","29/947","37/1762",0.00157144148710463,0.0326074108574212,0.0289476063414012,"SL1344_0203/SL1344_0482/SL1344_0631/SL1344_0632/SL1344_1650/SL1344_1705/SL1344_1992/SL1344_1993/SL1344_1994/SL1344_1995/SL1344_2001/SL1344_2002/SL1344_2003/SL1344_2004/SL1344_2005/SL1344_2006/SL1344_2007/SL1344_2008/SL1344_2009/SL1344_2010/SL1344_2011/SL1344_2414/SL1344_2430/SL1344_3444/SL1344_3892/SL1344_3893/SL1344_3940/SL1344_3951/SL1344_4106",29
"sey00790","sey00790","Folate biosynthesis","20/947","24/1762",0.00234313723580909,0.0388960781144308,0.0345304434750813,"SL1344_0008/SL1344_0088/SL1344_0184/SL1344_0449/SL1344_0778/SL1344_0780/SL1344_1135/SL1344_1643/SL1344_1753/SL1344_1835/SL1344_2170/SL1344_2334/SL1344_2928/SL1344_2929/SL1344_2930/SL1344_2948/SL1344_3179/SL1344_3266/SL1344_3436/SL1344_3942",20
