"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"777","slrP",95.1349928024561,0.986447312202138,0.224792506637244,4.38825709521539,1.14262656325821e-05,4.03667274342549e-05
"906","sopD2",62.2991522438378,-3.6334509457565,0.458699569106827,-7.92119982329938,2.35229552169605e-15,1.67690476815004e-14
"964","gtgA",8.11849102656217,-2.34508282821908,0.864285411648263,-2.71331992489243,0.00666127614238239,0.0154889980497355
"991","sseI",2.62904016579166,-1.94121951164425,1.48638943080223,-1.30599657896957,0.191553720957696,0.285583327381245
"1027","pipB",15.9130315637561,-3.14069020767064,0.721998974629938,-4.34999261499007,1.36142116882311e-05,4.75900294540358e-05
"1164","sifA",6.92338572088583,-1.26857429198814,0.902200686237952,-1.40608881298673,0.159697753872414,0.246569372019206
"1334","ssaD",5.12548577389295,-5.09614256325248,1.40513491757532,-3.6267994621088,0.000286955980799965,0.000847051543324341
"1339","sseC",38.1108221352784,-7.03285457645453,1.21339963006384,-5.79599202291211,6.79184919856026e-09,3.25698183589202e-08
"1340","sseD",19.8992860227663,-5.16663998663135,1.09238013409899,-4.72970884891902,2.24842050809975e-06,8.46876722568762e-06
"1343","sseF",1.47610559061813,-3.33665333464548,1.92528694810838,-1.7330680696318,0.0830835708389796,0.141932070457583
"1344","sseG",1.29652480946497,-3.11483453509773,1.96436944773053,-1.58566635145764,0.112815016011323,0.183872326709661
"1345","ssaG",9.19154431096405,-5.97065532607034,1.32828012843274,-4.49502721471504,6.95610499962593e-06,2.52000712940994e-05
"1347","ssaI",4.049043046822,-3.67342898108575,1.50699241324182,-2.43758956502211,0.0147855509332983,0.0318621703865488
"1348","ssaJ",38.0583188331709,-4.54235173233235,0.667570423702986,-6.80430344282796,1.01539316423691e-11,6.03031558790474e-11
"1350","ssaK",5.5895765926319,-3.2872694051933,1.27580349775571,-2.57662673834646,0.00997696226643252,0.0223235230947409
"1353","ssaV",8.43225945804332,-3.88062647727025,1.17704573713194,-3.29692071841323,0.000977510900615866,0.00264991900609131
"1354","ssaN",7.50037617763378,-4.64021543223823,1.33017400086774,-3.48842740063418,0.000485870746236801,0.00138623691029872
"1355","ssaO",2.55198411662459,-1.22928228646065,1.44663346387294,-0.849753802300142,0.395461979046268,0.510997401588644
"1356","ssaP",0.185625097284278,0.374083963765522,4.06477410828357,0.0920306894799342,0.926673656373696,NA
"1357","ssaQ",6.42768619806105,-5.43387215693941,1.35857178823657,-3.99969453509157,6.34242945107897e-05,0.000204652480668418
"1358","ssaR",23.5585881461191,-3.29230428937932,0.636772153246644,-5.17030192446888,2.33716081106755e-07,9.74224459425124e-07
"1360","ssaT",0.942915961385796,-2.65982308519531,2.14236770542163,-1.24153434467116,0.21440841883972,NA
"1361","ssaU",3.73249555992787,-3.57778206757671,1.46282449820019,-2.4458040400463,0.0144529530894356,0.0312168119573989
"1538","sifB",20.1978190414026,-7.07104801306736,1.24714523630111,-5.66978713244278,1.42975047524586e-08,6.70300663982913e-08
"1564","steB",8.78603386464345,-0.506365904739725,0.707745199516159,-0.715463566670456,0.47432264580804,0.586646723632849
"1566","sseJ",1.93140911082213,-3.68687122442844,1.70941353829441,-2.15680474141269,0.0310208815394716,0.0606268822632635
"1631","steC",4.36402294327589,-0.268525250335111,1.09341905378961,-0.245583108694189,0.806004966169943,0.867528530033141
"2124","sseK2",14.4891878464883,-5.62167800340363,1.26412028747185,-4.4471068608879,8.7034547279529e-06,3.11339920025963e-05
"2228","sspH2",6.12791449156056,-1.48726074075538,0.872062288516283,-1.70545242047536,0.088110078838032,0.149285146330594
"2273","sseL",62.9293032557642,-5.21823007501903,0.649937873666129,-8.02881365504115,9.84197132889106e-16,7.15698097548009e-15
"2564","gogB",5.85968770109838,-1.26746847553125,0.960896826599356,-1.31904741533684,0.187153261309698,0.280167447903511
"2786","pipB2",469.636735012926,-4.06642539392838,0.192414972957039,-21.1336224589772,3.90415701761829e-99,1.92074885372949e-97
"4380","srfJ",1.73188534216132,0.373978310730507,1.95271895123027,0.191516710837926,0.84812078949369,0.899351076671728
