"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"777","slrP",95.1349928024561,0.986447312202138,0.224792506637244,4.38825709521539,1.14262656325821e-05,4.03667274342549e-05
"1030","sopB",328.760437629624,0.494243806473779,0.136136744870587,3.63049525639542,0.000282877903954825,0.000837495131693891
"1518","steA",120.582185814386,-0.960801945137137,0.207243059008055,-4.63611157708203,3.5502437747402e-06,1.32469301894567e-05
"1564","steB",8.78603386464345,-0.506365904739725,0.707745199516159,-0.715463566670456,0.47432264580804,0.586646723632849
"1791","sopE2",38.592771846493,2.0667104087875,0.465580416699045,4.43899772125389,9.03787733963085e-06,3.22434567577699e-05
"2051","sopA",48.8442301865613,0.789235094410729,0.318022539474854,2.48169546634644,0.0130758972508641,0.0284584656169816
"2700","sopE",450.027387697845,2.53055824380887,0.145535439574732,17.387917686602,1.0186853629942e-67,3.00700827520879e-66
"2869","avrA",39.6508168868411,0.997022656880224,0.321845247602064,3.0978324654741,0.00194941598761142,0.00504443033157891
"2873","orgB",24.3693774390828,2.48338345591591,0.433089705154587,5.73410872241697,9.80264392325039e-09,4.63387141567649e-08
"2874","orgA",59.8312389941259,2.67174468865184,0.319212732440701,8.36979361137531,5.77192377822157e-17,4.50119691902406e-16
"2875","prgK",154.232547001317,2.68359887656684,0.228643501685725,11.7370441616815,8.2313245336564e-32,1.10073249216848e-30
"2876","prgJ",69.007488187612,2.5729822992009,0.342931164413677,7.50291185579481,6.24155255586021e-14,4.13165895931943e-13
"2877","prgI",68.4418628028945,2.79267233304968,0.293849523550026,9.50374974004085,2.0246542310635e-21,1.95357072900437e-20
"2878","prgH",245.164328716045,2.32656334102308,0.157516464210205,14.7702867296355,2.27742010810806e-49,4.42708250283444e-48
"2882","sptP",177.585480634019,3.55611279154961,0.19905386041795,17.8650782460732,2.20622512368781e-71,7.09016703056123e-70
"2886","sipA",624.248672104166,3.42415103413184,0.138224975915073,24.7723033515714,1.78307667129813e-135,1.22509664398673e-133
"2887","sipD",197.554018510339,2.67881661050138,0.18484959149052,14.4918719533052,1.36374901995679e-47,2.53950460024664e-46
"2888","sipC",1197.73918563615,1.37953072146187,0.100189099621461,13.7692695779689,3.90137621604836e-43,6.61573796636285e-42
"2889","sipB",1044.86409723797,1.99818681471396,0.120393071733951,16.5971910670211,7.30294327839633e-62,1.94014859762729e-60
"2891","spaS",15.4072640861627,4.67498380550623,0.762806887614918,6.12865966656854,8.86224651072417e-10,4.60443967995252e-09
"2892","spaR",7.13867984948954,2.62717177753409,0.919965797468334,2.85572766374993,0.00429383264585809,0.0104144388884629
"2893","spaQ",14.7215609422844,4.58290238950959,0.743686448380434,6.16241212878092,7.16450897543458e-10,3.76656573444681e-09
"2894","spaP",25.8462447067665,4.44859966759779,0.556144824327295,7.998994997353,1.25438813796273e-15,9.08861223596631e-15
"2895","spaO",70.6611340869097,4.60489940386584,0.356011580541423,12.9346899245881,2.86777749208373e-38,4.3452826258379e-37
"2898","invC",143.639443851776,5.3598225297762,0.674632615921035,7.94480196078093,1.94501271584229e-15,1.39907503116093e-14
"2900","invA",179.380189827643,3.97950335188376,0.2539150788256,15.6725759269186,2.32943954030208e-55,5.21506548769875e-54
"2901","invE",59.363526127583,2.60360045725674,0.292293646019412,8.90748222793673,5.22045690590729e-19,4.45471536831703e-18
"2902","invG",133.63994957088,3.64640781285402,0.253285246993638,14.3964477052452,5.447219053205e-47,9.95741648028528e-46
"2904","invH",118.241664754628,2.29505542841163,0.230332508056138,9.96409689531215,2.18853780631483e-23,2.3072283487208e-22
"2948","sopD",119.129728748381,3.20689836061442,0.246308303741102,13.0198548400757,9.43500963718172e-39,1.45168005421502e-37
