Geneid,E1,E2,E3,E4,E5,E6
SL1344_RS03870,5,6,9,0,3,0
SL1344_RS03875,0,2,2,0,0,0
SL1344_RS03880,0,0,1,0,0,0
SL1344_RS03890,0,1,0,0,1,0
SL1344_RS03895,0,0,0,1,1,3
SL1344_RS03900,1,2,0,0,0,0
SL1344_RS03905,2,17,4,2,1,0
gpmA,177,368,563,166,170,241
galM,32,62,116,36,40,71
galK,50,93,176,81,66,95
galT,58,108,187,27,43,43
galE,98,236,412,67,76,81
SL1344_RS03935,0,0,2,0,0,0
modF,18,73,71,28,25,30
modE,7,11,46,9,5,11
SL1344_RS03950,26,57,55,0,2,2
modA,32,79,108,43,24,25
modB,3,9,8,1,3,3
modC,6,39,34,7,9,13
SL1344_RS03970,16,31,46,8,10,11
pgl,57,116,161,151,177,260
SL1344_RS03980,4,12,39,18,24,39
SL1344_RS03985,283,572,952,98,101,140
SL1344_RS03990,160,303,445,43,34,59
SL1344_RS03995,46,88,137,13,9,6
hutU,17,72,78,153,186,236
hutH,18,37,74,83,77,88
SL1344_RS04010,109,254,381,31,28,30
bioA,1,0,2,0,0,0
bioB,0,0,1,0,0,0
bioF,0,2,5,0,0,2
bioC,0,0,0,0,0,0
bioD,11,14,11,4,6,5
uvrB,44,60,96,20,32,42
SL1344_RS04045,15,17,27,0,0,0
slrP,63,112,186,61,70,108
yvcK,11,28,53,6,4,6
moaA,11,24,18,5,4,2
moaB,12,24,25,3,7,3
moaC,10,41,64,3,10,4
moaD,0,1,11,0,0,0
moaE,1,6,8,3,1,3
SL1344_RS04085,147,334,541,58,78,97
SL1344_RS04090,0,0,0,0,3,0
SL1344_RS04095,0,0,0,0,0,0
SL1344_RS04100,5,13,15,0,0,0
SL1344_RS04105,34,28,72,1,0,4
clsB,20,70,136,2,0,0
SL1344_RS04115,33,44,100,2,0,1
SL1344_RS04120,109,257,414,52,74,76
SL1344_RS04125,14,41,54,14,16,9
SL1344_RS04130,28,35,38,4,12,9
SL1344_RS04135,28,70,146,10,7,20
hlyD,55,93,231,22,15,47
cecR,25,77,111,1,1,3
rhlE,1,4,8,4,2,7
dinG,48,84,105,30,32,26
ybiB,84,167,319,23,21,25
SL1344_RS04165,3,14,29,0,4,2
SL1344_RS04175,37,98,171,0,1,0
rlmF,3,8,20,4,12,9
ybiO,16,15,56,2,6,4
glnQ,73,230,359,52,68,58
glnP,59,131,298,53,42,94
glnH,572,1323,2178,739,853,1081
dps,1670,3010,4727,272,267,283
rhtA,8,8,20,0,2,1
ompX,1573,3720,5812,841,1172,1410
SL1344_RS04220,8,4,7,0,0,3
mntS,199,328,499,40,51,54
mntR,0,3,2,2,0,0
SL1344_RS04230,0,8,4,0,1,4
ldtB,15,20,75,4,6,5
SL1344_RS04240,13,23,32,7,6,12
SL1344_RS04245,2,0,2,0,0,0
SL1344_RS04255,83,171,258,15,11,10
SL1344_RS04260,14,19,31,4,2,4
SL1344_RS04265,3,12,24,26,31,22
SL1344_RS04270,0,0,1,1,0,0
moeB,2,6,9,6,1,6
moeA,9,23,36,41,46,67
iaaA,29,52,47,8,6,13
gsiA,16,29,66,15,31,31
gsiB,13,36,33,33,20,33
gsiC,4,11,19,4,14,7
gsiD,5,2,0,2,1,1
rimO,1,4,5,2,2,1
bssR,317,589,1045,5,1,1
SL1344_RS04320,0,0,0,0,0,0
SL1344_RS04325,2,10,5,1,0,6
SL1344_RS04330,6,11,7,0,0,1
SL1344_RS04335,0,0,0,0,0,0
SL1344_RS04340,9,25,33,0,1,7
SL1344_RS04345,9,4,11,1,1,1
SL1344_RS04350,18,29,56,1,0,1
SL1344_RS04355,61,78,160,0,2,9
SL1344_RS04365,55,121,237,76,106,144
dacC,451,827,1480,55,54,59
deoR,36,63,109,7,8,1
ybjG,4,11,5,8,9,6
SL1344_RS04385,3,3,6,0,0,7
SL1344_RS04390,4,12,14,23,21,24
SL1344_RS04395,0,1,6,1,4,1
SL1344_RS04400,3,7,23,3,0,1
SL1344_RS04405,23,49,93,6,9,7
SL1344_RS04410,10,9,19,6,4,3
SL1344_RS04415,2,9,19,22,24,15
SL1344_RS04420,2,6,11,1,3,2
rimK,5,8,19,0,1,0
SL1344_RS04435,0,2,1,0,0,0
potF,51,71,136,17,28,14
potG,12,11,49,3,0,2
potH,2,14,21,0,0,0
potI,12,12,22,1,3,2
SL1344_RS04460,4,12,14,0,2,0
rlmC,4,16,24,3,3,0
SL1344_RS04470,1,4,12,0,0,0
SL1344_RS04475,3,2,5,0,0,1
SL1344_RS04480,6,8,19,0,1,0
artJ,116,254,414,82,63,106
artM,15,39,50,9,6,7
artQ,14,20,40,2,7,2
artP,34,135,189,9,3,6
SL1344_RS04510,227,370,655,30,21,54
SL1344_RS04515,29,42,63,2,1,8
SL1344_RS04520,58,129,204,3,7,11
SL1344_RS04525,23,36,84,6,3,13
SL1344_RS04530,23,45,65,16,24,19
ltaE,61,111,180,46,49,62
poxB,48,115,162,9,14,17
hcr,2,0,9,5,2,5
hcp,3,11,13,4,6,1
SL1344_RS04555,3,25,24,2,1,1
SL1344_RS04560,42,77,181,32,41,75
SL1344_RS04565,161,243,454,50,45,67
macA,123,233,360,16,25,17
macB,91,174,264,23,27,35
cspD,157,470,570,22,17,26
clpS,361,703,1135,30,47,55
clpA,6603,11844,20485,2792,3286,4031
tnpA,42,69,86,10,5,25
SL1344_RS26565,215,424,578,2,0,6
SL1344_RS04610,0,0,0,0,0,0
SL1344_RS04615,32,47,100,20,18,10
SL1344_RS04620,22,34,43,6,1,4
SL1344_RS04625,12,23,31,6,3,5
infA,2,1,3,0,2,0
SL1344_RS04635,1,2,0,0,0,0
aat,3,9,23,1,2,0
cydC,44,74,106,80,72,80
cydD,10,35,67,12,15,16
trxB,20,71,97,101,122,169
lrp,6,21,58,44,41,73
ftsK,216,410,730,79,99,140
lolA,99,193,293,48,47,86
rarA,46,80,151,11,12,9
serS,120,252,466,126,123,237
dmsA,36,81,101,540,635,817
dmsB,61,99,150,407,460,543
SL1344_RS04695,2,9,12,211,238,265
SL1344_RS04705,4,5,12,4,6,2
SL1344_RS04710,24,82,100,10,3,5
pflA,158,272,456,12,22,15
SL1344_RS26570,8,9,22,7,2,2
sopD2,91,266,297,7,9,1
pflB,631,1280,2118,2706,3281,4003
focA,50,112,203,7,12,7
SL1344_RS04740,3,0,13,2,2,9
SL1344_RS04745,1,2,1,0,0,0
serC,26,59,86,53,59,96
aroA,11,32,43,9,21,11
SL1344_RS04760,9,25,43,1,0,1
cmk,20,44,60,10,8,3
rpsA,151,313,527,213,212,242
ihfB,155,223,327,32,38,42
SL1344_RS04780,18,21,30,0,3,2
msbA,5,14,32,9,6,5
lpxK,3,5,2,3,2,0
SL1344_RS04795,2,2,9,0,1,1
ycaR,10,23,28,2,3,10
kdsB,9,25,32,10,8,8
SL1344_RS04810,37,84,119,1,2,8
elyC,5,24,18,10,4,4
cmoM,3,12,24,9,15,17
mukF,10,14,35,25,26,20
mukE,4,12,12,7,12,14
mukB,40,93,135,168,188,224
ldtD,386,872,1411,76,117,106
SL1344_RS04845,58,88,199,30,48,50
SL1344_RS04850,21,53,74,28,22,13
aspC,43,60,158,96,117,138
ompF,109,253,343,116,166,191
asnS,67,154,255,126,120,168
SL1344_RS04870,11,19,26,2,7,2
dpaL,0,8,7,1,0,0
SL1344_RS04885,0,4,0,1,1,0
pncB,21,41,65,7,17,17
SL1344_RS04895,24,28,50,2,7,2
SL1344_RS04900,0,1,2,0,0,0
SL1344_RS04905,2,14,20,4,0,6
SL1344_RS04910,34,36,104,19,21,28
SL1344_RS04915,59,67,131,26,26,38
SL1344_RS04920,14,5,21,0,0,0
SL1344_RS04925,0,1,2,0,0,0
SL1344_RS26575,0,1,1,0,0,0
SL1344_RS04930,32,47,51,2,8,1
SL1344_RS04935,11,29,31,2,0,2
SL1344_RS04940,7,9,11,1,0,0
SL1344_RS04945,9,35,37,2,2,5
SL1344_RS04950,6,9,12,0,0,0
SL1344_RS04955,1,0,1,0,0,0
SL1344_RS04960,1,3,1,0,0,0
SL1344_RS04965,42,83,96,3,2,5
SL1344_RS04970,24,40,59,2,0,2
SL1344_RS04975,29,54,92,3,5,6
SL1344_RS04980,7,13,23,0,2,0
SL1344_RS04990,3,2,6,0,0,0
SL1344_RS04995,0,1,3,0,0,0
SL1344_RS05000,0,4,9,0,0,0
SL1344_RS05005,1,3,2,0,2,0
SL1344_RS05010,1,1,0,0,0,0
SL1344_RS05015,1,14,23,4,2,6
gtgA,14,20,43,1,2,2
SL1344_RS05025,2,9,7,0,0,2
SL1344_RS05030,1,6,2,3,0,0
SL1344_RS05035,3,4,9,0,0,0
SL1344_RS05040,6,0,11,0,2,1
SL1344_RS05045,9,6,25,0,0,1
SL1344_RS05050,0,2,0,0,0,0
SL1344_RS05055,6,11,15,4,0,2
SL1344_RS05060,15,32,60,4,16,20
SL1344_RS05065,1,0,2,0,0,0
SL1344_RS05070,2,1,3,0,0,0
SL1344_RS05075,4,7,6,0,1,1
SL1344_RS05080,0,1,1,0,0,1
SL1344_RS05085,7,2,13,0,1,5
SL1344_RS05090,0,2,4,0,0,0
SL1344_RS05095,1,3,2,0,0,0
SL1344_RS05100,36,28,70,0,10,4
SL1344_RS05105,8,3,1,0,1,0
SL1344_RS05110,10,14,17,5,8,7
SL1344_RS05115,253,619,930,252,261,290
SL1344_RS05120,18,24,36,3,4,11
SL1344_RS05125,4,4,4,0,0,0
SL1344_RS05130,1,0,3,1,0,0
SL1344_RS26990,9,23,25,0,5,0
SL1344_RS05140,0,0,1,0,0,0
SL1344_RS05145,7,13,40,4,2,4
SL1344_RS05150,3,12,12,0,0,2
sseI,4,10,8,0,2,0
SL1344_RS05170,4,9,6,0,0,0
SL1344_RS05175,0,0,7,0,0,0
SL1344_RS05180,25,39,60,8,12,2
SL1344_RS05185,1,3,2,0,0,1
pepN,474,881,1476,787,972,1187
pyrD,7,3,5,3,2,4
zapC,6,15,40,18,16,32
SL1344_RS05205,2,7,9,9,5,13
rlmKL,7,22,38,3,10,15
SL1344_RS05215,6,17,22,11,13,18
pqiA,10,34,51,2,10,7
pqiB,44,66,86,24,28,35
pqiC,4,17,25,8,6,7
rmf,73,117,183,71,76,67
fabA,2,9,5,7,13,5
SL1344_RS05245,8,14,26,7,8,10
matP,81,106,182,11,18,14
ompA,12570,25663,42890,8149,10877,13324
sulA,111,265,349,9,11,23
SL1344_RS05265,20,44,77,3,3,8
yccS,15,28,39,4,4,8
SL1344_RS05275,7,13,28,3,2,7
helD,43,75,119,9,4,15
mgsA,174,375,678,57,71,88
SL1344_RS05290,51,87,195,0,0,0
SL1344_RS05295,102,217,338,13,9,11
hspQ,128,300,522,6,8,12
rlmI,12,22,33,2,2,2
SL1344_RS05310,9,10,17,2,3,0
SL1344_RS05315,26,74,141,3,16,17
yccX,2,1,6,3,0,0
tusE,2,11,17,0,0,0
yccA,564,916,1679,280,441,444
SL1344_RS05335,0,0,0,0,0,0
pipA,26,44,71,2,0,0
pipB,25,52,88,2,3,1
SL1344_RS05350,0,4,7,1,1,4
sigE,30,61,84,51,49,84
sopB,268,479,789,196,242,281
SL1344_RS05365,2,0,9,1,0,0
SL1344_RS05370,6,13,15,1,0,0
SL1344_RS05375,884,1412,2359,64,92,124
SL1344_RS05380,7,5,29,0,1,0
hprR,11,18,23,1,5,8
hiuH,27,30,25,0,1,5
SL1344_RS05395,7,23,24,5,2,4
hpaB,33,64,135,2,1,8
hpaR,7,22,25,3,7,4
SL1344_RS05410,8,16,34,18,13,12
hpaE,35,110,143,14,23,34
hpaD,55,93,143,6,9,14
SL1344_RS05425,13,32,50,2,3,2
hpaH,10,16,34,1,4,0
hpaI,0,8,13,0,1,7
hpaX,2,12,31,2,3,5
hpaA,3,5,6,0,0,2
SL1344_RS05450,2,2,2,3,1,2
iraM,5,1,6,0,1,0
cbpM,223,309,488,21,27,55
cbpA,458,922,1490,72,89,98
SL1344_RS05470,2,6,10,3,0,0
SL1344_RS05475,0,3,0,0,2,0
SL1344_RS05480,0,3,2,3,0,1
SL1344_RS05485,0,1,4,0,0,2
agp,545,1103,2033,319,371,432
SL1344_RS05495,88,164,251,7,3,14
wrbA,813,2371,3702,85,89,129
SL1344_RS05505,2068,3509,6892,54,57,61
rutR,6,4,7,1,0,0
SL1344_RS05515,11,11,7,10,2,0
putA,25,82,109,123,132,142
putP,8,24,47,44,42,56
phoH,2994,5849,9607,66,107,86
SL1344_RS05540,12,24,39,5,20,2
SL1344_RS05545,20,34,50,8,12,12
SL1344_RS05550,6,9,8,5,5,3
SL1344_RS05555,5,2,5,0,1,4
SL1344_RS05560,1,1,1,2,5,0
SL1344_RS05565,2,3,12,1,2,4
SL1344_RS05570,45,58,100,12,24,24
SL1344_RS24805,0,0,0,0,0,0
SL1344_RS24810,0,0,0,0,0,0
SL1344_RS05580,0,0,0,0,0,0
ghrA,3,4,7,15,14,28
SL1344_RS05595,39,57,135,6,20,14
SL1344_RS05600,14,76,121,5,11,22
SL1344_RS05605,5,1,10,0,3,3
csgG,5,10,31,4,0,1
csgF,6,1,2,0,0,1
csgE,0,1,1,0,0,2
csgD,0,5,6,0,1,2
csgB,0,0,1,0,0,0
csgA,11,19,39,3,1,1
csgC,0,1,1,0,0,0
SL1344_RS05645,5,13,16,8,2,8
ymdB,120,281,477,18,24,27
SL1344_RS05655,30,73,145,8,12,8
mdoC,18,21,33,2,3,0
mdoG,39,96,132,40,37,64
mdoH,24,61,78,42,52,101
SL1344_RS05675,97,199,246,1,0,0
SL1344_RS05680,74,119,182,0,3,0
mdtG,15,40,45,0,2,3
SL1344_RS05690,6,21,29,3,8,5
SL1344_RS05695,1,6,9,0,2,1
SL1344_RS05700,2,10,13,1,2,2
SL1344_RS05705,2,6,7,1,5,1
SL1344_RS05710,0,0,1,0,0,0
solA,52,103,170,30,40,51
bssS,522,1001,1545,203,211,275
dinI,1,0,9,1,0,1
pyrC,10,16,23,9,17,27
SL1344_RS05735,141,222,444,6,17,14
grxB,797,1429,2691,299,397,505
mdtH,9,4,20,0,2,2
rimJ,135,273,362,15,25,28
SL1344_RS05755,138,224,307,83,60,80
SL1344_RS05760,35,108,148,19,13,26
murJ,7,17,20,6,5,6
flgN,633,1102,1952,70,75,90
flgM,1560,2815,5093,54,75,77
flgA,5,7,10,19,24,20
flgB,2,1,9,7,5,6
flgC,3,13,8,14,7,8
flgD,2,11,38,71,60,82
flgE,16,43,75,347,413,572
SL1344_RS05805,3,11,17,23,25,28
flgG,11,19,21,50,57,67
flgH,2,7,13,15,7,16
SL1344_RS05820,4,5,7,32,41,32
flgJ,0,7,6,5,5,21
flgK,350,717,1079,471,471,618
flgL,182,335,631,288,322,335
rne,82,164,297,464,532,616
rluC,5,10,7,0,0,1
SL1344_RS05855,0,6,14,0,2,0
SL1344_RS05860,0,0,1,0,0,0
maf,47,81,123,16,14,16
yceD,24,42,71,34,29,52
rpmF,1,0,5,4,3,6
plsX,21,32,105,5,8,19
fabH,9,27,57,24,20,27
fabD,12,39,69,44,32,64
fabG,135,273,531,29,40,39
acpP,315,552,817,27,46,42
fabF,34,66,112,39,55,64
pabC,24,43,38,3,8,12
yceG,3,12,18,0,8,10
SL1344_RS05920,7,18,30,7,11,16
holB,10,17,22,1,10,7
SL1344_RS05930,139,281,450,13,9,12
ptsG,47,105,166,122,111,187
fhuE,6,7,25,0,0,1
hinT,169,269,449,10,30,17
SL1344_RS05950,68,164,209,9,2,6
lpoB,137,250,442,12,17,27
thiK,13,32,52,2,4,1
nagZ,27,55,81,13,18,25
SL1344_RS05970,77,134,215,49,66,61
ndh,19,41,79,19,46,43
SL1344_RS05980,16,59,54,28,29,24
comR,71,143,281,15,20,35
SL1344_RS05990,76,207,249,5,4,17
SL1344_RS05995,9,24,38,4,4,0
mfd,59,175,231,70,87,102
lolC,0,8,3,1,3,2
lolD,0,0,0,0,0,1
lolE,6,10,27,3,7,4
nagK,12,17,23,15,8,16
cobB,4,15,28,19,34,51
potD,5,15,22,62,69,67
potC,1,3,2,1,0,3
sifA,9,18,27,5,2,0
potB,1,2,13,0,5,2
potA,1,6,12,2,1,0
pepT,25,60,111,46,66,74
SL1344_RS06065,3,17,36,0,1,1
SL1344_RS06070,83,234,362,51,37,46
phoQ,152,251,384,22,44,64
phoP,323,736,1023,312,374,471
purB,13,14,21,22,29,43
hflD,2,6,6,0,1,3
mnmA,6,18,22,11,8,4
SL1344_RS06100,13,19,48,2,0,2
SL1344_RS06105,5,14,27,1,0,1
rluE,18,23,66,0,1,0
icd,1041,1643,3065,1231,1467,1778
sopF,27,85,120,4,8,3
SL1344_RS06130,4,2,2,0,0,0
msgA,3,3,10,0,2,4
SL1344_RS06140,7,11,29,1,3,2
cspF,18,21,29,0,0,0
pagD,100,167,206,1,0,4
pagC,4859,8757,14523,105,114,134
SL1344_RS06175,4,6,11,0,1,0
SL1344_RS06180,536,1057,1612,139,214,198
SL1344_RS26610,7,12,31,2,1,8
SL1344_RS06205,23,25,59,3,12,2
SL1344_RS06215,19,41,87,3,5,5
SL1344_RS06220,8,24,47,20,44,48
SL1344_RS06225,1,3,5,11,20,21
SL1344_RS06230,9,11,13,9,7,4
SL1344_RS06235,0,4,2,0,0,1
SL1344_RS06240,0,4,3,0,1,0
SL1344_RS06245,4,1,8,1,1,0
SL1344_RS06250,2,6,5,0,0,1
SL1344_RS06255,9,9,20,5,2,1
SL1344_RS06260,10,10,25,16,11,28
SL1344_RS06265,0,0,0,0,0,0
zinT,10,17,24,4,6,4
aadA,17,35,78,12,7,13
SL1344_RS06280,1,3,4,0,3,0
SL1344_RS06285,13,18,39,8,7,9
SL1344_RS06290,5,33,38,3,1,7
SL1344_RS06295,1,5,9,0,0,0
SL1344_RS06300,5,4,14,32,24,23
leuE,22,50,57,20,24,22
SL1344_RS06315,2,3,1,1,0,0
SL1344_RS06320,4,3,5,0,0,1
SL1344_RS06330,11,6,22,0,3,2
SL1344_RS27005,3,3,9,0,0,0
SL1344_RS06335,51,109,256,5,19,11
SL1344_RS06340,36,109,166,9,14,17
SL1344_RS06345,35,47,111,11,8,14
SL1344_RS06350,0,1,6,1,1,0
SL1344_RS06355,7,15,8,0,4,0
SL1344_RS06360,1,0,1,2,0,0
SL1344_RS06365,0,1,0,0,0,0
SL1344_RS06370,4,27,37,11,7,6
SL1344_RS06375,62,98,148,2,2,12
SL1344_RS27010,1515,2467,4412,143,142,180
SL1344_RS06380,4568,8534,14262,76,90,100
yeaG,23904,49655,82518,528,648,848
SL1344_RS06390,95,177,349,151,228,286
SL1344_RS06395,14,6,35,0,0,0
SL1344_RS06400,18,22,49,4,3,8
SL1344_RS06405,11,29,31,97,115,186
gapA,460,827,1431,555,680,851
msrB,243,346,590,51,33,72
SL1344_RS06420,79,180,209,29,44,49
pncA,14,27,35,19,12,19
ansA,19,29,61,1,8,3
sppA,19,29,55,31,43,68
SL1344_RS06440,45,75,164,16,34,29
selD,57,186,258,57,63,96
topB,16,55,65,21,22,25
gdhA,27,32,72,48,57,46
SL1344_RS06460,266,394,802,28,12,16
SL1344_RS06465,26,52,93,8,1,2
xthA,42,69,129,30,42,48
SL1344_RS06475,1478,2956,5015,29,19,30
astA,909,1653,2842,1,5,2
astD,1583,3331,5001,7,6,3
astB,1131,2551,4100,0,0,4
astE,250,561,867,0,0,0
spy,88,150,226,10,7,10
cho,14,24,25,1,3,4
nadE,153,353,542,53,109,92
osmE,1301,2589,4310,108,147,153
chbB,49,68,132,10,17,26
chbC,8,28,41,4,11,4
chbA,64,88,179,6,2,8
chbR,19,36,93,2,5,3
SL1344_RS06540,6,28,40,18,21,33
chbG,25,49,64,9,9,2
katE,1397,2849,4610,250,362,455
cedA,0,3,2,0,0,0
tcyP,25,28,40,32,42,54
SL1344_RS06565,16,27,43,0,0,0
hxpB,35,35,49,21,17,23
SL1344_RS06575,33,78,131,9,13,5
SL1344_RS06580,558,1233,2035,253,270,287
ghoS,48,81,172,16,29,27
pfkB,265,649,1059,121,96,105
SL1344_RS06595,7,5,23,0,0,1
SL1344_RS06600,47,57,97,24,43,52
SL1344_RS06605,5,3,8,0,1,0
SL1344_RS06610,54,113,185,37,44,43
SL1344_RS06615,1,6,9,0,1,2
SL1344_RS06620,4,23,35,5,1,3
thrS,940,1976,3210,1691,1983,2548
infC,257,476,795,159,197,260
rpmI,24,24,53,36,53,79
rplT,26,50,67,139,184,246
pheM,0,1,0,0,0,0
pheS,22,44,54,15,10,24
pheT,134,222,394,143,186,205
ihfA,582,1172,1826,69,79,96
btuC,1,2,5,1,1,2
SL1344_RS06665,20,18,46,6,7,6
btuD,7,21,33,3,3,5
SL1344_RS06675,45,77,125,1,4,4
ydiV,45,78,81,0,1,0
SL1344_RS06685,284,545,977,12,13,16
hemP,4,11,12,1,0,2
aroH,23,20,88,15,24,39
ppsR,279,489,825,90,111,119
ppsA,678,1406,2243,731,821,978
fadK,6,17,25,1,0,1
SL1344_RS06715,0,0,0,0,0,0
SL1344_RS06720,3,1,8,1,4,1
SL1344_RS06725,0,7,14,1,1,3
SL1344_RS06730,3,9,18,0,0,0
SL1344_RS06735,1,2,1,0,0,0
SL1344_RS06740,13,49,45,4,3,4
SL1344_RS06745,7,3,9,1,1,0
aroD,17,33,82,8,6,15
ydiB,1,2,3,0,1,0
SL1344_RS06765,1,1,0,0,0,0
SL1344_RS06770,2,1,2,0,0,0
rprA,0,0,0,0,0,0
ydiK,35,102,135,17,15,22
SL1344_RS06780,66,118,194,70,89,117
menI,9,13,24,5,1,3
SL1344_RS06790,12,13,42,0,2,0
SL1344_RS06795,6,17,15,1,11,11
sufA,120,235,376,1,5,7
sufB,602,1139,1921,7,8,9
sufC,126,273,503,1,3,0
sufD,613,1102,1864,1,4,1
sufS,316,678,1092,4,8,10
sufE,37,68,147,0,0,2
SL1344_RS06830,186,398,619,24,36,68
SL1344_RS06835,24,35,89,10,7,14
lpp,3898,6339,10727,3876,5106,5660
pykF,701,1352,2182,90,136,151
SL1344_RS06850,32,43,62,34,66,77
SL1344_RS06855,10,35,84,11,9,14
SL1344_RS06860,23,36,51,21,13,15
SL1344_RS06865,22,45,95,0,2,2
ttrA,12,23,62,34,27,56
ttrC,0,6,11,8,5,15
ttrB,2,1,2,0,1,1
ttrS,49,114,200,48,65,73
ttrR,6,12,8,5,9,6
fumD,38,74,111,0,1,0
SL1344_RS06900,2299,4368,7505,119,168,194
SL1344_RS06905,37,34,68,2,8,9
SL1344_RS06910,202,506,770,18,20,36
SL1344_RS06915,665,1096,1838,6,5,25
spiC,19,30,30,0,0,0
spiA,38,36,77,2,4,1
ssaD,11,15,31,0,0,0
ssaE,4,9,18,0,0,0
sseA,509,999,1637,109,130,165
sseB,214,299,588,7,17,13
sscA,33,70,96,0,1,0
sseC,66,129,250,0,1,0
sseD,29,71,134,2,0,0
sseE,13,29,40,0,0,0
sscB,9,6,20,0,0,0
sseF,1,10,7,0,0,0
sseG,3,2,10,0,0,0
ssaG,10,43,62,0,0,0
SL1344_RS06990,48,124,182,0,0,0
ssaI,11,5,23,0,1,0
ssaJ,57,138,244,0,1,5
SL1344_RS07005,12,35,59,0,0,0
ssaK,12,13,31,0,0,2
ssaL,11,44,49,0,2,0
ssaM,0,5,19,0,0,0
ssaV,14,29,48,0,2,0
ssaN,12,24,50,1,0,0
ssaO,2,2,22,0,2,1
ssaP,1,0,0,0,0,0
ssaQ,11,27,35,0,0,0
ssaR,49,59,124,3,3,2
ssas,7,18,7,0,0,1
ssaT,2,2,7,0,0,0
ssaU,8,10,20,0,0,1
SL1344_RS07070,3,1,0,0,0,0
SL1344_RS07075,0,0,0,0,0,0
mdtK,12,22,61,7,4,10
SL1344_RS07085,17,40,58,12,11,15
cfa,242,504,916,34,57,55
SL1344_RS07095,5,9,11,1,4,4
SL1344_RS07100,2,8,20,1,1,3
purR,2,9,10,7,4,4
SL1344_RS27025,14,12,21,8,1,3
sodB,394,712,1263,1816,2279,2691
SL1344_RS07115,9,6,28,1,1,0
grxD,11,33,63,10,20,18
rnt,21,23,27,2,12,2
gloA,577,1153,1811,94,128,171
SL1344_RS07135,58,110,164,40,43,33
SL1344_RS07140,16,19,42,0,1,1
SL1344_RS07145,7,10,19,0,0,1
SL1344_RS07150,97,204,331,57,67,96
sodC,441,812,1287,32,38,48
SL1344_RS07160,24,57,65,0,8,3
SL1344_RS07165,8,4,25,1,2,4
SL1344_RS07170,2,4,6,0,0,2
slyA,143,270,409,55,102,116
slyB,2209,3612,6243,210,271,283
anmK,45,62,141,25,21,22
mliC,8,11,29,7,14,10
pdxH,8,19,30,3,3,3
tyrS,22,27,50,18,40,44
pdxY,3,21,23,14,14,20
gstA,476,961,1568,211,300,357
dtpA,131,225,338,27,37,47
nth,8,22,43,8,6,13
SL1344_RS07225,1,6,17,3,7,18
rsxG,7,17,53,6,6,10
rsxD,5,12,3,3,5,11
rsxC,3,6,6,4,3,9
rsxB,2,0,1,1,2,2
rsxA,0,1,15,1,3,0
SL1344_RS07255,8,17,22,1,3,4
ydgT,3,2,12,2,4,3
blr,8,16,13,0,0,2
SL1344_RS07270,155,302,499,225,281,372
add,56,122,186,97,142,178
SL1344_RS07285,309,668,881,125,128,163
manA,15,29,55,63,76,112
fumB,1242,2594,4294,302,347,425
fumC,169,385,643,142,118,195
SL1344_RS07305,62,111,276,7,23,16
rstB,0,5,5,3,1,1
SL1344_RS07315,7,25,25,2,4,0
ompC,6,7,6,5,6,4
rstA,49,85,121,13,17,32
SL1344_RS07335,1,0,1,1,1,0
SL1344_RS07340,0,2,9,0,2,0
SL1344_RS07345,39,98,242,101,112,157
pntA,70,168,270,192,176,203
pntB,60,108,193,217,262,282
SL1344_RS07360,5,28,10,0,1,2
mdtJ,0,1,0,2,0,2
mdtI,3,5,8,1,0,0
SL1344_RS07375,132,266,491,0,5,4
SL1344_RS07380,3,17,20,0,1,2
SL1344_RS07385,2,10,31,0,0,0
SL1344_RS07390,3,17,9,0,2,2
SL1344_RS07395,13,32,55,3,0,4
clcB,0,3,0,0,0,0
osmV,29,83,123,35,51,44
osmW,12,27,30,33,18,35
osmX,14,42,55,26,25,33
osmY,2261,4272,6714,129,151,133
dmsD,15,33,41,38,39,40
SL1344_RS07435,7,13,31,65,76,89
SL1344_RS07445,3,9,8,72,99,112
SL1344_RS07450,16,27,41,59,50,93
SL1344_RS07455,359,580,1095,13,19,22
SL1344_RS07460,25,50,69,3,0,2
speG,21,71,116,23,17,27
SL1344_RS07470,28,35,70,4,8,13
SL1344_RS07475,0,1,5,0,2,0
rspA,0,4,3,7,3,6
SL1344_RS07485,0,10,5,2,1,2
SL1344_RS07495,4,14,27,3,5,8
ydfZ,5,1,2,5,4,11
SL1344_RS07505,29,34,45,3,3,3
ydfG,132,265,426,77,113,105
dcp,55,131,184,83,89,64
SL1344_RS07520,5,20,10,0,1,0
SL1344_RS07525,34,72,113,0,0,0
SL1344_RS07530,175,280,493,19,26,23
mgtS,0,3,5,1,0,0
ydeE,15,27,49,8,2,5
eamA,9,9,23,10,17,19
marB,0,2,5,0,1,1
marA,0,9,1,0,0,2
marR,0,0,2,0,0,2
SL1344_RS07565,4,22,27,4,4,9
SL1344_RS07570,6,10,15,0,0,0
SL1344_RS07575,1,3,8,0,6,0
sad,4,7,16,87,124,154
glsB,0,5,4,3,3,3
SL1344_RS07590,6,6,10,1,0,5
SL1344_RS07595,19,12,13,0,6,2
SL1344_RS07600,4,6,7,0,1,0
hypA,1,10,22,3,9,13
SL1344_RS07615,6,10,20,1,1,4
SL1344_RS07620,5,24,43,2,3,3
SL1344_RS07625,5,15,19,0,0,1
hypC,2,12,16,2,0,5
hybD,7,27,52,9,3,3
cybH,17,24,37,7,8,18
SL1344_RS07645,21,78,89,57,36,56
