Geneid,E1,E2,E3,E4,E5,E6
SL1344_RS00895,1,2,2,0,0,0
SL1344_RS00900,3,5,11,0,0,0
SL1344_RS00905,0,0,0,0,0,0
SL1344_RS00910,1,4,7,0,1,1
panD,11,21,29,7,18,6
panC,3,4,12,3,1,3
panB,1,10,20,6,3,11
folK,1,3,3,5,0,0
pcnB,8,13,25,3,8,10
gluQRS,3,10,20,1,0,0
dksA,265,482,794,49,55,60
sfsA,316,479,788,5,9,12
thpR,4,26,34,7,6,6
hrpB,37,57,96,16,9,18
mrcB,41,63,60,57,40,67
fhuA,58,105,168,13,4,3
fhuC,0,2,9,0,0,1
fhuD,0,1,3,0,0,0
fhuB,0,0,2,0,1,0
stfA,2,1,3,0,0,0
SL1344_RS00995,8,7,21,1,1,0
stfD,2,0,3,0,0,0
SL1344_RS01005,0,3,2,0,0,0
stfF,0,2,0,0,1,0
SL1344_RS01015,0,6,3,0,0,0
SL1344_RS01020,4,8,10,0,0,0
hemL,42,139,205,64,78,126
clcA,0,3,3,0,1,1
erpA,65,197,272,18,35,31
SL1344_RS01040,65,90,170,5,3,23
btuF,1,7,12,0,0,0
mtnN,6,12,30,62,60,74
dgt,64,138,188,61,80,79
degP,62,149,216,91,83,101
cdaR,19,34,76,19,15,15
SL1344_RS01070,569,876,1364,43,53,76
SL1344_RS01075,24,67,103,31,32,27
dapD,99,236,373,82,62,62
glnD,24,53,99,69,70,87
map,35,106,115,19,24,27
rpsB,28,37,70,64,73,92
tsf,20,24,65,228,230,293
pyrH,4,4,14,15,22,8
frr,181,342,582,20,43,33
ispC,8,19,27,7,5,1
ispU,9,14,34,30,9,17
cdsA,19,13,27,12,15,10
rseP,20,64,100,16,8,13
bamA,110,234,409,251,275,342
skp,30,47,64,13,17,19
lpxD,31,62,97,26,40,33
fabZ,11,26,41,28,22,33
lpxA,17,48,100,15,39,41
lpxB,7,14,10,6,3,11
rnhB,1,4,12,3,0,3
dnaE,20,38,53,21,23,36
accA,31,33,42,33,34,31
SL1344_RS01180,22,24,52,14,8,6
ldcC,43,76,141,21,28,28
SL1344_RS01190,3,5,18,14,18,18
tilS,7,14,22,4,7,10
rof,46,70,103,7,8,5
SL1344_RS01205,14,26,36,2,2,12
SL1344_RS01210,0,16,12,14,13,5
arfB,6,3,23,0,1,0
nlpE,32,55,98,17,31,36
proS,25,51,102,49,47,69
tsaA,0,7,8,3,3,0
rcsF,8,17,24,8,14,34
metQ,48,79,147,76,78,98
metI,6,16,35,7,0,7
metN,2,4,14,1,1,9
gmhB,42,75,132,3,9,10
SL1344_RS01260,56777,62602,81590,64238,59653,55791
SL1344_RS01265,9,32,44,22,35,54
SL1344_RS01270,0,0,0,0,0,0
SL1344_RS01285,0,3,2,0,0,1
dkgB,2,3,26,2,3,8
SL1344_RS01295,3,14,10,0,1,0
SL1344_RS01300,1,19,32,0,0,0
SL1344_RS01305,191,251,605,24,32,42
SL1344_RS01310,18,38,16,5,9,9
mltD,11,23,35,16,13,16
gloB,12,13,49,7,15,20
SL1344_RS01325,31,78,137,3,3,8
rnhA,1,3,8,0,0,1
dnaQ,32,77,117,0,1,3
SL1344_RS01340,0,3,1,0,0,0
SL1344_RS01345,0,1,2,3,1,1
tssG,0,0,0,0,0,0
tssF,0,2,3,0,3,0
tssE,3,4,3,1,0,0
SL1344_RS01365,3,8,5,0,1,3
tagK,2,1,12,0,0,0
tssH,1,0,5,1,0,3
tssB,0,1,1,1,1,0
tssC,5,6,22,4,4,1
SL1344_RS01395,1,6,2,0,0,0
SL1344_RS01400,0,0,2,0,3,0
SL1344_RS27560,0,0,0,0,0,0
SL1344_RS01405,0,0,0,0,0,0
SL1344_RS01410,0,0,0,0,0,0
SL1344_RS01415,3,1,0,0,1,0
tssJ,0,0,1,0,0,0
tssK,0,4,4,0,1,4
tssL,1,0,1,0,2,1
SL1344_RS01435,0,0,1,0,0,0
SL1344_RS01440,0,1,1,0,0,0
tssM,10,32,23,9,6,22
SL1344_RS01450,0,1,0,0,0,0
SL1344_RS01455,4,8,8,0,2,0
SL1344_RS01460,0,0,0,0,0,0
SL1344_RS01465,2,12,16,4,3,3
SL1344_RS01470,0,0,0,0,0,0
SL1344_RS01475,8,17,27,2,1,0
SL1344_RS01480,0,1,3,0,0,0
SL1344_RS01490,5,26,29,3,1,0
SL1344_RS01495,0,0,0,0,0,0
SL1344_RS01500,0,0,0,0,0,0
SL1344_RS01505,0,2,0,0,0,0
SL1344_RS24945,0,0,0,0,0,0
SL1344_RS01525,1,3,6,0,1,0
papD,2,8,12,0,2,1
SL1344_RS01535,18,43,90,7,3,6
SL1344_RS01540,4,8,24,0,1,0
SL1344_RS01545,6,20,22,0,0,0
SL1344_RS01560,29,54,79,6,0,1
SL1344_RS01565,1,2,9,0,0,0
pagN,28,66,93,35,38,60
SL1344_RS01575,10,28,49,7,21,20
SL1344_RS01580,39,71,94,26,15,35
fadE,3935,8042,12750,703,849,1023
lpcA,53,55,136,22,20,24
SL1344_RS01595,72,128,231,35,20,27
SL1344_RS01600,8,17,36,0,1,3
dinB,37,69,139,7,8,8
SL1344_RS01615,5,9,12,3,3,1
pepD,139,271,482,99,208,205
gpt,1,4,14,3,6,4
frsA,46,92,117,39,33,62
crl,10,40,43,8,36,18
phoE,5,5,11,0,2,0
proB,10,4,11,9,2,8
proA,9,26,15,38,43,47
SL1344_RS01655,2,10,8,0,3,4
SL1344_RS01675,345,619,1052,161,171,222
SL1344_RS01680,2,4,6,2,1,0
